"split","aAcc","fAcc","qAcc"
"Overall","61.09358569926393","30.924855491329478","32.527472527472526"
"VD","62.098138747884946","33.91304347826087","31.768953068592058"
"VS","59.44444444444444","25.0","33.70786516853933"
"VD_ocr","78.65168539325843","62.7906976744186","58.139534883720934"
"VD_illusion","62.5","24.193548387096776","26.38888888888889"
"VS_table","69.64285714285714","32.142857142857146","41.86046511627907"
"VD_video","44.11764705882353","6.25","8.695652173913043"
"VD_math","70.37037037037037","27.77777777777778","42.592592592592595"
"VD_figure","70.0","56.09756097560976","38.46153846153847"
"VS_ocr","57.407407407407405","30.76923076923077","18.51851851851852"
"VS_map","57.8125","9.090909090909092","18.75"
"VS_chart","52.307692307692314","25.0","40.78947368421053"
